id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4.20E+12,2015-13362,5/20/2015 11:37:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,9XX 5TH ST,26668,Westwood,18,49.154348,-123.971329
4.20E+12,2015-11201,4/29/2015 8:39:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX TERMINAL AVE,26682,Downtown,2,49.169392,-123.940748
4.20E+12,2015-13903,5/25/2015 8:59:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX KIWANIS CRES,26684,Townsite,17,49.186533,-123.967837
4.20E+12,2015-17235,6/21/2015 9:08:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX STEWART AVE,26685,Newcastle/brechin,16,49.183345,-123.947091
4.20E+12,2015-16746,6/18/2015 2:36:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX BASTION ST,26692,Downtown,2,49.166412,-123.937425
4.20E+12,2015-16485,6/16/2015 3:18:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX SABISTON ST,26701,South End,6,49.155275,-123.931856
4.20E+12,2015-15251,06-06-2015 10:19,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX SABISTON ST,26701,South End,6,49.155275,-123.931856
4.20E+12,2015-16068,06-12-2015 18:53,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,68XX ISLAND HWY N,26714,Dover,11,49.2381,-124.048133
4.20E+12,2015-15715,06-09-2015 22:30,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX HALIBURTON ST,26715,South End,6,49.152029,-123.932375
4.20E+11,2015-8540,04-02-2015 03:42,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX HALIBURTON ST,26715,South End,6,49.152029,-123.932375
4.20E+11,2015-6172,03-08-2015 11:38,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,7XX NICOL ST,26716,South End,6,49.150538,-123.93375
4.20E+11,2015-5745,03-07-2015 06:43,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,12XX STRATHMORE ST,26726,Townsite,17,49.188083,-123.970412
4.20E+11,2015-8827,04-05-2015 02:37,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX ACACIA AVE,26732,University District,19,49.168355,-123.959569
4.20E+12,2015-18166,6/29/2015 1:29:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX PARK AVE,26747,University District,19,49.1556,-123.943755
4.20E+12,2015-15674,06-09-2015 17:36,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX 5TH ST,26750,Harewood,10,49.155147,-123.953135
4.20E+12,2015-18244,6/30/2015 3:23:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX BOWEN RD,26752,University District,19,49.170985,-123.952636
4.20E+11,2015-7884,3/26/2015 6:08:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX MILTON ST,26759,Downtown,2,49.15871,-123.936817
4.20E+11,2015-5468,03-03-2015 17:14,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX MILTON ST,26759,Downtown,2,49.15871,-123.936817
4.20E+11,2015-4793,2/20/2015 10:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX MILTON ST,26759,Downtown,2,49.15871,-123.936817
4.20E+12,2015-10537,4/22/2015 10:34:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX ROSEHILL ST,26760,Townsite,17,49.176196,-123.956731
4.20E+12,2015-10652,4/23/2015 11:00:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX WESTWOOD RD,26789,Westwood,18,49.163841,-123.996683
4.20E+12,2015-17130,6/21/2015 3:16:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX BRUCE AVE,26792,University District,19,49.158219,-123.949524
4.20E+12,2015-15190,06-05-2015 21:00,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX BRUCE AVE,26792,University District,19,49.158219,-123.949524
4.20E+11,2015-8394,3/31/2015 9:26:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX STIRLING AVE,26794,University District,19,49.156082,-123.946636
4.20E+11,2015-9232,04-09-2015 15:53,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,8XX HOWARD AVE,26802,Harewood,10,49.145339,-123.955454
4.20E+12,2015-13148,5/18/2015 4:55:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX CHAPEL ST,26811,Downtown,2,49.169628,-123.938236
4.20E+12,2015-14005,5/26/2015 8:53:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX MILTON ST,26824,Downtown,2,49.163387,-123.944613
4.20E+12,2015-18615,07-03-2015 09:42,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX SELBY ST,26825,Downtown,2,49.164258,-123.942011
4.20E+12,2015-15627,06-09-2015 11:50,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX SELBY ST,26825,Downtown,2,49.164258,-123.942011
4.20E+12,2015-18492,07-02-2015 01:00,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX CENTRE ST,26835,Unknown,0,49.152453,-123.929576
4.20E+11,2015-5827,2/23/2015 12:01:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX CENTRE ST,26835,Unknown,0,49.152453,-123.929576
4.20E+12,2015-10463,4/20/2015 8:26:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,17XX BOWEN RD,26852,Northfield,5,49.181269,-123.979348
4.20E+12,2015-18457,07-02-2015 01:22,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX HOWARD AVE,26855,University District,19,49.16751,-123.95521
4.20E+12,2015-17191,6/21/2015 4:32:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,45XX UPLANDS DR,26867,Rutherford,12,49.219411,-124.026112
